old_path,new_path,year,title,video_id,date
03_Reference/transcripts/20250506-jVbcFt8_7KE.txt,03_Reference/transcripts/2025/This is so PAINFUL for leafs fans to hear [jVbcFt8_7KE].txt,2025,This is so PAINFUL for leafs fans to hear....,jVbcFt8_7KE,2025-05-06
03_Reference/transcripts/20250512-yW1m8OcFFE0.txt,03_Reference/transcripts/2025/The Toronto Maple Leafs just SCREWED themselves over with this [yW1m8OcFFE0].txt,2025,The Toronto Maple Leafs just SCREWED themselves over with this....,yW1m8OcFFE0,2025-05-12
03_Reference/transcripts/20250514-0tIJKDgTRMw.txt,03_Reference/transcripts/2025/The Canucks just signed an absolute STAR in the making [0tIJKDgTRMw].txt,2025,The Canucks just signed an absolute STAR in the making....,0tIJKDgTRMw,2025-05-14
03_Reference/transcripts/20250515-eTl6Lt16y2A.txt,03_Reference/transcripts/2025/It just keeps on getting WORSE for the Maple Leafs [eTl6Lt16y2A].txt,2025,It just keeps on getting WORSE for the Maple Leafs....,eTl6Lt16y2A,2025-05-15
03_Reference/transcripts/20250519-eB00CPak80s.txt,03_Reference/transcripts/2025/You NEED to hear what Marchand just said about Leafs Fans [eB00CPak80s].txt,2025,You NEED to hear what Marchand just said about Leafs Fans...,eB00CPak80s,2025-05-19
03_Reference/transcripts/20250519-rXhquK-oAog.txt,03_Reference/transcripts/2025/Things have literally NEVER felt worse for Leafs fans [rXhquK-oAog].txt,2025,Things have literally NEVER felt worse for Leafs fans...,rXhquK-oAog,2025-05-19
03_Reference/transcripts/20250521-I60qVUCiPcE.txt,03_Reference/transcripts/2025/Leafs fans are NOT HAPPY to hear this at all [I60qVUCiPcE].txt,2025,Leafs fans are NOT HAPPY to hear this at all....,I60qVUCiPcE,2025-05-21
03_Reference/transcripts/20250522-i__w9MNTeS8.txt,03_Reference/transcripts/2025/Are the Leafs making a HUGE mistake with this [i__w9MNTeS8].txt,2025,Are the Leafs making a HUGE mistake with this??,i__w9MNTeS8,2025-05-22
03_Reference/transcripts/20250529-YC-y4tRyxZM.txt,03_Reference/transcripts/2025/This Canucks prospect is turning into an absolute FORCE [YC-y4tRyxZM].txt,2025,This Canucks prospect is turning into an absolute FORCE....,YC-y4tRyxZM,2025-05-29
03_Reference/transcripts/20250602-aQVrwxwr3Us.txt,03_Reference/transcripts/2025/This is the BEST Canucks news in a VERY long time [aQVrwxwr3Us].txt,2025,This is the BEST Canucks news in a VERY long time....,aQVrwxwr3Us,2025-06-02
03_Reference/transcripts/20250605-cJ4yvJe5ccs.txt,03_Reference/transcripts/2025/This is a HUGE decision for the Vancouver Canucks… [cJ4yvJe5ccs].txt,2025,This is a HUGE decision for the Vancouver Canucks…,cJ4yvJe5ccs,2025-06-05
03_Reference/transcripts/20250613-G92o6hTyulU.txt,03_Reference/transcripts/2025/The Canucks absolutely NEED to make this happen [G92o6hTyulU].txt,2025,The Canucks absolutely NEED to make this happen.....,G92o6hTyulU,2025-06-13
03_Reference/transcripts/20250618-5h_nFySE3iI.txt,03_Reference/transcripts/2025/The Canucks are impressing EVERYONE with this [5h_nFySE3iI].txt,2025,The Canucks are impressing EVERYONE with this....,5h_nFySE3iI,2025-06-18
03_Reference/transcripts/20250620-naHGFw98pGg.txt,03_Reference/transcripts/2025/This Canucks prospect just showed EVERYONE how good he is [naHGFw98pGg].txt,2025,This Canucks prospect just showed EVERYONE how good he is....,naHGFw98pGg,2025-06-20
03_Reference/transcripts/20250621-fH-BXgNViJQ.txt,03_Reference/transcripts/2025/Brad Marchand is an absolute MENACE for saying this [fH-BXgNViJQ].txt,2025,Brad Marchand is an absolute MENACE for saying this...,fH-BXgNViJQ,2025-06-21
03_Reference/transcripts/20250624-c8JGVDCdrMs.txt,03_Reference/transcripts/2025/The Canucks just achieved something UNBELIEVABLE… [c8JGVDCdrMs].txt,2025,The Canucks just achieved something UNBELIEVABLE….,c8JGVDCdrMs,2025-06-24
03_Reference/transcripts/20250625-iBoJXb9XKD0.txt,03_Reference/transcripts/2025/The Canucks just SURPRISED the entire NHL with this trade [iBoJXb9XKD0].txt,2025,The Canucks just SURPRISED the entire NHL with this trade....,iBoJXb9XKD0,2025-06-25
03_Reference/transcripts/20250705-f6QHC16ELz8.txt,03_Reference/transcripts/2025/This could be a DREAM acquisition for the Canucks [f6QHC16ELz8].txt,2025,This could be a DREAM acquisition for the Canucks....,f6QHC16ELz8,2025-07-05
03_Reference/transcripts/20250809-_EhDTBDrPqk.txt,03_Reference/transcripts/2025/This new Canucks prospect is such a HUGE surprise [_EhDTBDrPqk].txt,2025,This new Canucks prospect is such a HUGE surprise...,_EhDTBDrPqk,2025-08-09
